,state,county,score
954,Mississippi,Chickasaw,0
955,Mississippi,Choctaw,0
956,Mississippi,Claiborne,0
957,Mississippi,Clarke,0
958,Mississippi,Clay,0
959,Mississippi,Coahoma,0
960,Mississippi,Copiah,0
961,Mississippi,Covington,0
962,Mississippi,Forrest,0
963,Mississippi,Franklin,0
964,Mississippi,George,0
965,Mississippi,Greene,0
966,Mississippi,Grenada,0
967,Mississippi,Hancock,0
968,Mississippi,Harrison,0
969,Mississippi,Hinds,0
970,Mississippi,Holmes,0
971,Mississippi,Humphreys,0
972,Mississippi,Issaquena,0
973,Mississippi,Itawamba,0
974,Mississippi,Jackson,0
975,Mississippi,Jasper,0
976,Mississippi,Jefferson,0
977,Mississippi,Jones,0
978,Mississippi,Kemper,0
979,Mississippi,Lafayette,0
980,Mississippi,Lamar,0
981,Mississippi,Lauderdale,0
982,Mississippi,Lawrence,0
983,Mississippi,Leake,0
984,Mississippi,Lee,0
985,Mississippi,Leflore,0
986,Mississippi,Lincoln,0
987,Mississippi,Lowndes,0
988,Mississippi,Madison,0
989,Mississippi,Marion,0
990,Mississippi,Marshall,0
991,Mississippi,Monroe,0
992,Mississippi,Montgomery,0
993,Mississippi,Neshoba,0
994,Mississippi,Newton,0
995,Mississippi,Noxubee,0
996,Mississippi,Oktibbeha,0
997,Mississippi,Panola,0
998,Mississippi,Pearl River,0
999,Mississippi,Perry,0
1000,Mississippi,Pike,0
1001,Mississippi,Pontotoc,0
1002,Mississippi,Prentiss,0
1003,Mississippi,Quitman,0
1004,Mississippi,Rankin,0
1005,Mississippi,Scott,0
1006,Mississippi,Sharkey,0
1007,Mississippi,Simpson,0
1008,Mississippi,Smith,0
1009,Mississippi,Stone,0
1010,Mississippi,Sunflower,0
1011,Mississippi,Tallahatchie,0
1012,Mississippi,Tate,0
1013,Mississippi,Tippah,0
1014,Mississippi,Tishomingo,0
1015,Mississippi,Tunica,0
1016,Mississippi,Union,0
1017,Mississippi,Walthall,0
