,0,1,2
1690,Texas,Milam,1266.9782333300086
1147,North Carolina,Columbus,1123.0106510170376
1579,Texas,Crockett,3007.820764710105
756,Michigan,Branch,2232.213086424305
1326,Oklahoma,Comanche,-169.98384625622657
613,Iowa,Greene,278.4353039640523
1048,Nebraska,Garden,-800.6388893835001
124,Arkansas,Marion,-584.2124258885253
1884,Virginia,Northumberland,184.21520418722912
1276,Ohio,Mercer,3584.713385326037
1450,Tennessee,Cumberland,8232.44565133857
143,Arkansas,Searcy,155.14698817972248
1717,Texas,Real,3635.151950925529
421,Georgia,Turner,1169.3140512150244
1265,Ohio,Lake,1088.3432452437187
365,Georgia,Lanier,181.32714145579166
1697,Texas,Motley,2003.8970698188923
985,Missouri,Phelps,101.28638073130514
1592,Texas,Duval,11627.533251091796
663,Iowa,Union,170.63574987483162
240,Florida,Hardee,5645.884439634518
1103,Nebraska,Wayne,1087.0361430819116
108,Arkansas,Hempstead,801.261976955117
276,Florida,Union,2141.899000226386
798,Michigan,Mecosta,2033.0714957109954
275,Florida,Taylor,260.228307495443
773,Michigan,Gratiot,-372.5730073595
53,Alabama,Pike,3450.47133765436
1531,Texas,Archer,3417.8076990957356
295,Georgia,Bryan,-3533.1597289452206
1371,Oklahoma,Pontotoc,27.076404412450756
256,Florida,Manatee,317.37756983792406
1768,Texas,Wilbarger,620.2448307990535
600,Iowa,Crawford,1777.8377701695963
987,Missouri,Platte,902.8696093294625
647,Iowa,Osceola,135.0989196282403
1902,Virginia,Shenandoah,715.4152472203027
897,Mississippi,Walthall,1237.9802915330797
1238,Ohio,Coshocton,-351.8960406499941
1232,Ohio,Carroll,100.97441071557023
1449,Tennessee,Crockett,883.2962290220444
1525,Tennessee,Williamson,86.51723351222518
719,Louisiana,Vermilion,456.6412653932207
1800,Utah,Summit,1523.3169798294002
1548,Texas,Brewster,3744.424061858043
1256,Ohio,Harrison,1739.4149214694894
1370,Oklahoma,Pittsburg,199.70783029260065
126,Arkansas,Mississippi,546.9163218106482
257,Florida,Marion,1744.8733139271822
1183,North Carolina,Mitchell,-215.52103900527368
611,Iowa,Franklin,3326.43572799802
1605,Texas,Fort Bend,1436.6809353981848
395,Georgia,Pulaski,2075.422723204681
1735,Texas,Sherman,8536.203458447528
1732,Texas,Scurry,2976.7467668180066
1569,Texas,Collin,-264.5736658144792
1011,Missouri,Webster,-113.43390830569956
933,Missouri,Crawford,-273.5226529623526
1182,North Carolina,Mecklenburg,316.293372677826
1255,Ohio,Hardin,11008.185810505634
614,Iowa,Grundy,786.1311299203558
165,Colorado,Conejos,253.12930238676608
575,Illinois,Winnebago,-403.56037912057036
1611,Texas,Gillespie,7356.469457348541
676,Louisiana,Allen,637.7691008000925
304,Georgia,Charlton,-7.265836749830214
1448,Tennessee,Coffee,-200.6277394233498
1047,Nebraska,Gage,919.754996314337
1563,Texas,Cherokee,1704.076845449927
367,Georgia,Lee,4599.663355818851
1151,North Carolina,Davidson,-283.0456201391221
309,Georgia,Clarke,40.42516765140181
1496,Tennessee,Morgan,43461.63435518943
299,Georgia,Calhoun,172.12320102620606
340,Georgia,Gilmer,3353.757568382593
674,Iowa,Wright,761.7968343142911
1394,South Carolina,Berkeley,1851.607334273935
1684,Texas,McCulloch,482.36927319669303
906,Missouri,Adair,-1327.1758052110172
1143,North Carolina,Cherokee,3728.386144209932
794,Michigan,Macomb,390.50942146949
1844,Virginia,Dinwiddie,-400.68479558071795
1591,Texas,Donley,10677.482907438327
1570,Texas,Collingsworth,1135.0480338439856
424,Georgia,Upson,6891.243133598098
753,Michigan,Bay,1015.0722270727188
1924,New Hampshire,Merrimack,10291.403270190745
551,Illinois,Pope,397.60636080257837
1894,Virginia,Pulaski,-407.64392070502845
597,Iowa,Clay,954.604370510961
1093,Nebraska,Seward,851.1175706466461
1845,Virginia,Essex,-236.95166413273182
242,Florida,Hernando,1848.7445508773244
1105,Nebraska,Wheeler,4684.331461595497
1681,Texas,Mason,1241.8543410208354
1660,Texas,King,-80.21571473567997
586,Iowa,Buchanan,172.10480101646908
1095,Nebraska,Sherman,2317.720676298841
